input_amplitude,input_period,input_duty_cycle,phase_coherence,mean_phase,phase_coherence_population,collective_phase
0.0,0.75,0.5,0.12732200375002747,0.7999999999999832,NaN,NaN
0.0,0.755,0.5,0.024175295608174125,0.5303480414035538,NaN,NaN
0.0,0.76,0.5,0.056816950310238555,0.26542671023042513,NaN,NaN
0.0,0.765,0.5,0.00481771382656497,0.300000000000861,NaN,NaN
0.0,0.77,0.5,0.020408163265334078,0.19999999999975732,NaN,NaN
0.0,0.775,0.5,0.012030852977484711,0.23781617344661146,NaN,NaN
0.0,0.78,0.5,0.014530850560100141,0.24999999999996933,NaN,NaN
0.0,0.785,0.5,0.07537570809892816,0.30000000000008215,NaN,NaN
0.0,0.79,0.5,0.020408163265285807,0.7000000000000572,NaN,NaN
0.0,0.795,0.5,0.03302110181119959,0.2000000000003317,NaN,NaN
0.0,0.8,0.5,5.0762251909611284e-14,0.1777847083352721,NaN,NaN
0.0,0.805,0.5,0.03236067977496779,0.8999999999995417,NaN,NaN
0.0,0.81,0.5,0.02766939637715938,0.027034170687995254,NaN,NaN
0.0,0.815,0.5,0.012612938545924228,0.30000000000000415,NaN,NaN
0.0,0.82,0.5,0.031497182008686,0.16218382655345792,NaN,NaN
0.0,0.825,0.5,0.020833333333421498,0.8000000000004543,NaN,NaN
0.0,0.83,0.5,0.01261293854594551,0.7999999999991946,NaN,NaN
0.0,0.835,0.5,0.04477002378645683,0.22703417068796555,NaN,NaN
0.0,0.84,0.5,0.038818633318144224,0.849999999999894,NaN,NaN
0.0,0.845,0.5,0.06329174559031465,0.6696519585967005,NaN,NaN
0.0,0.85,0.5,0.037798557275054816,0.18781617344683785,NaN,NaN
0.0,0.855,0.5,0.03302110181126126,0.6000000000000628,NaN,NaN
0.0,0.86,0.5,0.004817713826604593,0.49999999999964073,NaN,NaN
0.0,0.865,0.5,0.03215337330055666,0.13781617344647573,NaN,NaN
0.0,0.87,0.5,0.03149718200868861,0.537816173446526,NaN,NaN
0.0,0.875,0.5,0.02022179581887692,0.5309960487656191,NaN,NaN
0.0,0.88,0.5,0.0443307880544844,0.14454269793378527,NaN,NaN
0.0,0.885,0.5,0.053429265076524145,0.6000000000001366,NaN,NaN
0.0,0.89,0.5,0.007795224719378529,0.3999999999983149,NaN,NaN
0.0,0.895,0.5,0.07703760490115023,0.20966911480083003,NaN,NaN
0.0,0.9,0.5,0.10192702207988977,0.5621838265531109,NaN,NaN
0.0,0.905,0.5,0.03149718200870301,0.062183826553222334,NaN,NaN
0.0,0.91,0.5,0.03962735484560696,0.35000000000012477,NaN,NaN
0.0,0.915,0.5,0.05750163791733991,0.8210083349990004,NaN,NaN
0.0,0.92,0.5,0.059281039196292754,0.380043797505511,NaN,NaN
0.0,0.925,0.5,0.014530850560060624,0.1500000000010619,NaN,NaN
0.0,0.93,0.5,0.08515764571362815,0.022965829311745296,NaN,NaN
0.0,0.935,0.5,0.11481741448168176,0.5270341706880034,NaN,NaN
0.0,0.94,0.5,0.02710471481848407,0.1270341706881366,NaN,NaN
0.0,0.945,0.5,0.08029379096342353,0.27563234689359295,NaN,NaN
0.0,0.95,0.5,0.10937461487777385,0.7710083349990869,NaN,NaN
0.0,0.955,0.5,0.11974082590283042,0.3899339920796856,NaN,NaN
0.0,0.96,0.5,0.026562620521979614,0.027034170687704008,NaN,NaN
0.0,0.965,0.5,0.13445568611584477,0.08548488017295976,NaN,NaN
0.0,0.97,0.5,0.2122777599216327,0.6965644467169737,NaN,NaN
0.0,0.975,0.5,0.16207330639630546,0.27635386396508754,NaN,NaN
0.0,0.98,0.5,0.020408163264856585,0.39999999999916025,NaN,NaN
0.0,0.985,0.5,0.35455628973340864,0.9979003364796509,NaN,NaN
0.0,0.99,0.5,0.6567021159455538,0.6141303827373156,1.0,0.6141303827373155
0.0,0.995,0.5,0.9044416649888487,0.2233027766684424,1.0,0.22330277666844237
0.0,1.0,0.5,0.9597327144014756,0.8285833060684364,1.0,0.8285833060684366
0.0,1.005,0.5,0.8856987001222588,0.4743238604296437,1.0,0.4743238604296437
