day,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10
-5.0,-0.00399968405541562,0.003999684055415564,0.006000315944589496,0.0019993682306032046,-0.00399968405541562,0.0,0.006000315944589496,0.003999684055415592,0.0,-0.0019993682306032046
-4.0,-0.00399968405541562,0.003999684055415564,0.006000315944589496,0.0019993682306032046,0.006000315944589496,0.0,0.006000315944589496,0.003999684055415592,0.0,-0.0019993682306032046
-3.0,0.006000315944589496,0.003999684055415564,-0.00399968405541562,-0.008000631769401911,-0.00399968405541562,0.0,-0.00399968405541562,0.003999684055415592,0.0,-0.0019993682306032046
-2.0,0.006000315944589496,-0.0060003159445895515,-0.00399968405541562,0.0019993682306032046,-0.00399968405541562,0.0,-0.00399968405541562,-0.006000315944589524,0.0,-0.0019993682306032046
-1.0,-0.00399968405541562,-0.0060003159445895515,-0.00399968405541562,0.0019993682306032046,0.006000315944589496,0.0,-0.00399968405541562,-0.006000315944589524,0.0,0.008000631769401911
1.0,0.6160003159445747,0.6139996840554007,0.6060003159445838,0.6319993682305987,0.6160003159445889,0.6299999999999955,0.6060003159445838,0.623999684055406,0.6199999999999903,0.6280006317693922
2.0,0.656000315944581,0.653999684055407,0.6260003159445798,0.6519993682305947,0.6460003159445901,0.6499999999999915,0.636000315944585,0.6339996840554111,0.6400000000000006,0.6580006317693934
3.0,0.696000315944573,0.673999684055403,0.656000315944581,0.6719993682305907,0.6860003159445821,0.6799999999999926,0.6660003159445719,0.6839996840554082,0.6699999999999875,0.6880006317693945
4.0,NaN,0.7339996840554053,0.7160003159445832,0.7219993682306021,NaN,NaN,0.7360003159445793,0.7439996840554105,0.7099999999999937,NaN
5.0,-0.21399968405542358,NaN,NaN,NaN,-0.2339996840554196,-0.21999999999999886,NaN,NaN,NaN,-0.23199936823060718
6.0,-0.16399968405542642,-0.2060003159445924,-0.19399968405542756,-0.19800063176939964,-0.1639996840554122,-0.1700000000000017,-0.20399968405541846,-0.17600031594459123,-0.19000000000001194,-0.1619993682305998
7.0,-0.12399968405542017,-0.14600031594459012,-0.16399968405542642,-0.1680006317693985,-0.11399968405541505,-0.14000000000000057,-0.1439996840554162,-0.12600031594459407,-0.15000000000000568,-0.12199936823060775
8.0,-0.09399968405541903,-0.09600031594459296,-0.12399968405542017,-0.11800063176940134,-0.08399968405541391,-0.10000000000000853,-0.10399968405542415,-0.09600031594459293,-0.12000000000000455,-0.11199936823060264
9.0,-0.08399968405542813,-0.07600031594459694,-0.09399968405541903,-0.09800063176940532,-0.04399968405542187,-0.05000000000001137,-0.08399968405542813,-0.05600031594458668,-0.09000000000000341,-0.0819993682306015
10.0,-0.0639996840554179,-0.05600031594460092,-0.07399968405542301,-0.0780006317694093,-0.04399968405542187,-0.05000000000001137,-0.0639996840554179,-0.04600031594459578,-0.0800000000000125,-0.0719993682306106
11.0,-0.05399968405542699,-0.05600031594460092,-0.0639996840554179,-0.05800063176939907,-0.03399968405541676,-0.030000000000001137,-0.05399968405542699,-0.04600031594459578,-0.060000000000002274,-0.05199936823060036
12.0,-0.05399968405542699,-0.046000315944595804,-0.05399968405542699,-0.048000631769408164,-0.03399968405541676,-0.020000000000010232,-0.05399968405542699,-0.04600031594459578,-0.04000000000000625,-0.04199936823060946
13.0,-0.04399968405542187,-0.026000315944599783,-0.04399968405542187,-0.048000631769408164,-0.02399968405541164,-0.020000000000010232,-0.04399968405542187,-0.03600031594459066,-0.04000000000000625,-0.03199936823060434
14.0,-0.04399968405542187,-0.016000315944594667,-0.04399968405542187,-0.048000631769408164,-0.03399968405541676,-0.020000000000010232,-0.03399968405541676,-0.026000315944585545,-0.04000000000000625,-0.03199936823060434
15.0,-0.02399968405542585,-0.016000315944594667,-0.02399968405542585,-0.03800063176940305,-0.013999684055420736,-0.020000000000010232,-0.02399968405542585,-0.026000315944585545,-0.030000000000001137,-0.03199936823060434
16.0,-0.02399968405542585,-0.016000315944594667,-0.013999684055420736,-0.03800063176940305,-0.013999684055420736,-0.020000000000010232,-0.03399968405541676,-0.026000315944585545,-0.030000000000001137,-0.03199936823060434
17.0,-0.03399968405541676,-0.0060003159445895515,-0.013999684055420736,-0.028000631769397932,-0.013999684055420736,-0.010000000000005116,-0.04399968405542187,-0.026000315944585545,-0.030000000000001137,-0.021999368230599226
18.0,-0.03399968405541676,-0.0060003159445895515,-0.013999684055420736,-0.028000631769397932,-0.013999684055420736,-0.010000000000005116,-0.03399968405541676,-0.01600031594459464,-0.030000000000001137,-0.021999368230599226
19.0,-0.02399968405542585,-0.0060003159445895515,-0.02399968405542585,-0.028000631769397932,-0.013999684055420736,-0.010000000000005116,-0.02399968405542585,-0.006000315944589524,-0.030000000000001137,-0.021999368230599226
20.0,-0.02399968405542585,-0.0060003159445895515,-0.00399968405541562,-0.028000631769397932,-0.013999684055420736,-0.010000000000005116,-0.02399968405542585,-0.006000315944589524,-0.020000000000010232,-0.01199936823060832
